"object_id","term_taxonomy_id","term_order"
"17","54","0"
"415","54","0"
"839","31","0"
"839","35","0"
"1372","54","0"
"2135","2","0"
"2135","52","0"
"2143","2","0"
"2143","51","0"
"2149","2","0"
"2149","49","0"
"2150","2","0"
"2150","47","0"
"2151","2","0"
"2151","50","0"
"2152","2","0"
"2152","51","0"
"2153","2","0"
"2153","47","0"
"2153","49","0"
"2155","2","0"
"2155","48","0"
"2156","2","0"
"2156","47","0"
"2157","2","0"
"2157","47","0"
"2158","2","0"
"2158","51","0"
"2159","2","0"
"2159","47","0"
"2624","54","0"
"2625","54","0"
"2626","54","0"
"2627","54","0"
"2628","54","0"
"2629","54","0"
"2630","54","0"
"2631","54","0"
"2632","54","0"
"2633","54","0"
"2634","54","0"
"2635","54","0"
"2636","54","0"
"2638","54","0"
"2639","54","0"
"2641","54","0"
"2642","54","0"
"2643","54","0"
"2644","54","0"
"2645","54","0"
"2646","54","0"
"2647","54","0"
"2648","54","0"
"2649","54","0"
"2650","54","0"
"2651","54","0"
"2652","54","0"
"2653","54","0"
"2654","54","0"
"2655","54","0"
"2656","54","0"
"2657","54","0"
"2658","54","0"
"2659","54","0"
"2660","54","0"
"2665","54","0"
"2669","54","0"
"2774","1","0"
"2774","60","0"
"2774","66","0"
"2774","67","0"
"2774","68","0"
"2774","69","0"
"2774","70","0"
"2774","73","0"
"2774","79","0"
"2774","92","0"
"2774","93","0"
"2810","54","0"
"2939","61","0"
"2941","61","0"
"2942","61","0"
"2943","61","0"
"2944","61","0"
"2945","61","0"
"2947","61","0"
"2950","61","0"
"2953","61","0"
"3006","54","0"
"3007","54","0"
"3143","54","0"
"3973","54","0"
"4103","35","0"
"4105","35","0"
"4107","35","0"
"4193","1","0"
"4193","60","0"
"4193","66","0"
"4193","67","0"
"4193","68","0"
"4193","69","0"
"4193","70","0"
"4193","71","0"
"4193","72","0"
"4193","73","0"
"4193","75","0"
"4193","76","0"
"4193","79","0"
"4205","1","0"
"4205","60","0"
"4205","66","0"
"4205","67","0"
"4205","68","0"
"4205","69","0"
"4205","70","0"
"4205","71","0"
"4205","72","0"
"4205","73","0"
"4205","75","0"
"4205","76","0"
"4205","79","0"
"4205","91","0"
"4222","1","0"
"4222","60","0"
"4222","66","0"
"4222","67","0"
"4222","68","0"
"4222","69","0"
"4222","70","0"
"4222","72","0"
"4222","73","0"
"4222","76","0"
"4222","79","0"
"4222","90","0"
"4235","1","0"
"4235","60","0"
"4235","66","0"
"4235","67","0"
"4235","69","0"
"4235","72","0"
"4235","73","0"
"4235","83","0"
"4235","84","0"
"4235","85","0"
"4235","86","0"
"4244","1","0"
"4244","60","0"
"4244","66","0"
"4244","67","0"
"4244","68","0"
"4244","69","0"
"4244","70","0"
"4244","71","0"
"4244","72","0"
"4244","73","0"
"4244","75","0"
"4244","76","0"
"4244","79","0"
"4244","89","0"
"4253","1","0"
"4253","60","0"
"4253","66","0"
"4253","67","0"
"4253","68","0"
"4253","69","0"
"4253","70","0"
"4253","71","0"
"4253","72","0"
"4253","73","0"
"4253","75","0"
"4253","76","0"
"4253","79","0"
"4321","1","0"
"4321","60","0"
"4321","66","0"
"4321","67","0"
"4321","68","0"
"4321","69","0"
"4321","70","0"
"4321","71","0"
"4321","72","0"
"4321","73","0"
"4321","75","0"
"4321","76","0"
"4321","79","0"
"4326","1","0"
"4326","60","0"
"4326","66","0"
"4326","67","0"
"4326","68","0"
"4326","69","0"
"4326","70","0"
"4326","71","0"
"4326","72","0"
"4326","73","0"
"4326","75","0"
"4326","76","0"
"4326","79","0"
"4328","1","0"
"4328","60","0"
"4328","66","0"
"4328","67","0"
"4328","71","0"
"4328","72","0"
"4328","73","0"
"4328","75","0"
"4328","76","0"
"4328","80","0"
"4330","1","0"
"4330","60","0"
"4330","66","0"
"4330","67","0"
"4330","68","0"
